         5864117 function calls (5727303 primitive calls) in 13.246 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.181    0.036 connection.py:27(create_connection)
        5    0.000    0.000    0.180    0.036 minorminer.py:21(find_embedding)
        5    0.180    0.036    0.180    0.036 {minorminer._minorminer.find_embedding}
      529    0.000    0.000    0.178    0.000 re.py:249(compile)
        1    0.000    0.000    0.171    0.171 figure.py:1(<module>)
     5359    0.116    0.000    0.162    0.000 {built-in method builtins.sorted}
    25034    0.102    0.000    0.156    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
71802/70459    0.025    0.000    0.156    0.000 {built-in method builtins.hasattr}
      115    0.000    0.000    0.155    0.001 artist.py:1840(kwdoc)
        4    0.000    0.000    0.153    0.038 generic.py:1(<module>)
        5    0.000    0.000    0.153    0.031 dwave_sampler.py:358(sample)
        5    0.000    0.000    0.152    0.030 solver.py:959(sample_bqm)
        5    0.000    0.000    0.151    0.030 solver.py:995(_sample)
  198/196    0.001    0.000    0.150    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
  198/196    0.145    0.001    0.150    0.001 {built-in method _imp.create_dynamic}
        5    0.001    0.000    0.149    0.030 coders.py:28(encode_problem_as_qp)
        5    0.148    0.030    0.148    0.030 {method 'connect' of '_socket.socket' objects}
       30    0.001    0.000    0.146    0.005 _model_construction.py:61(__new__)
        5    0.105    0.021    0.146    0.029 structured.py:115(adjacency)
        1    0.000    0.000    0.144    0.144 _format.py:1(<module>)
  517/509    0.001    0.000    0.144    0.000 __init__.py:108(import_module)
  517/509    0.001    0.000    0.143    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
      447    0.001    0.000    0.137    0.000 sre_parse.py:944(parse)
      115    0.004    0.000    0.134    0.001 artist.py:1601(pprint_setters)
 1782/447    0.005    0.000    0.134    0.000 sre_parse.py:436(_parse_sub)
        5    0.010    0.002    0.133    0.027 coders.py:61(<listcomp>)
 2858/491    0.039    0.000    0.132    0.000 sre_parse.py:494(_parse)
    28070    0.013    0.000    0.123    0.000 utils.py:141(uniform_get)
        2    0.000    0.000    0.117    0.059 __init__.py:3233(_call_aside)
        1    0.000    0.000    0.117    0.117 __init__.py:3259(_initialize_master_working_set)
     1585    0.001    0.000    0.115    0.000 inspect.py:3252(signature)
     1585    0.001    0.000    0.114    0.000 inspect.py:2998(from_callable)
2421/1604    0.010    0.000    0.113    0.000 inspect.py:2375(_signature_from_callable)
     3067    0.004    0.000    0.112    0.000 inspect.py:838(getabsfile)
       29    0.001    0.000    0.112    0.004 _model_construction.py:492(complete_model_class)
     4176    0.010    0.000    0.110    0.000 artist.py:1470(get_valid_values)
       28    0.000    0.000    0.106    0.004 __init__.py:609(add_entry)
        1    0.000    0.000    0.105    0.105 polyfuncs.py:1(<module>)
       25    0.000    0.000    0.105    0.004 exceptions.py:1(<module>)
        1    0.000    0.000    0.105    0.105 specialpolys.py:1(<module>)
      136    0.000    0.000    0.104    0.001 response.py:995(_update_chunk_length)
        1    0.000    0.000    0.104    0.104 _continuous_distns.py:1(<module>)
      440    0.001    0.000    0.103    0.000 __init__.py:2065(find_on_path)
454214/397592    0.046    0.000    0.098    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.097    0.097 sympify.py:1(<module>)
        1    0.000    0.000    0.095    0.095 rings.py:1(<module>)
     4090    0.004    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     3709    0.002    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.084    0.084 h_qaoa.py:1(<module>)
     7247    0.050    0.000    0.083    0.000 inspect.py:744(cleandoc)
        1    0.000    0.000    0.083    0.083 qaoa.py:1(<module>)
        1    0.000    0.000    0.082    0.082 converter.py:1(<module>)
        1    0.000    0.000    0.081    0.081 colorbar.py:1(<module>)
        1    0.000    0.000    0.080    0.080 frame.py:1(<module>)
        1    0.000    0.000    0.079    0.079 _kdtree.py:1(<module>)
     5368    0.016    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        5    0.078    0.016    0.078    0.016 solver.py:773(<setcomp>)
     3194    0.008    0.000    0.078    0.000 inspect.py:813(getsourcefile)
        1    0.000    0.000    0.075    0.075 rcsetup.py:1(<module>)
     2915    0.010    0.000    0.075    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.074    0.074 latex.py:1(<module>)
     7171    0.005    0.000    0.073    0.000 inspect.py:725(getdoc)
      107    0.002    0.000    0.070    0.001 _distn_infrastructure.py:1900(__init__)
        5    0.000    0.000    0.070    0.014 base.py:362(from_config)
  481/473    0.001    0.000    0.069    0.000 __init__.py:383(__getattr__)
        2    0.000    0.000    0.069    0.034 accessors.py:1(<module>)
        1    0.000    0.000    0.068    0.068 _distn_infrastructure.py:1(<module>)
        1    0.000    0.000    0.067    0.067 compute.py:1(<module>)
     3438    0.002    0.000    0.066    0.000 genericpath.py:16(exists)
       16    0.000    0.000    0.066    0.004 __init__.py:215(__getattr__)
        1    0.000    0.000    0.066    0.066 indexed.py:1(<module>)
        5    0.001    0.000    0.063    0.013 base.py:432(__init__)
   103/34    0.000    0.000    0.060    0.002 _generate_schema.py:467(generate_schema)
        5    0.000    0.000    0.060    0.012 basic.py:1(<module>)
        1    0.000    0.000    0.059    0.059 configuration.py:40(__init__)
   188/34    0.001    0.000    0.059    0.002 _generate_schema.py:735(_generate_schema_inner)
        1    0.000    0.000    0.059    0.059 appdirs.py:166(user_config_dir)
        1    0.000    0.000    0.059    0.059 appdirs.py:45(user_data_dir)
        1    0.000    0.000    0.059    0.059 appdirs.py:479(_get_win_folder_with_pywin32)
   162/34    0.000    0.000    0.059    0.002 _schema_generation_shared.py:81(__call__)
    51/34    0.000    0.000    0.058    0.002 main.py:604(__get_pydantic_core_schema__)
    28692    0.017    0.000    0.057    0.000 _collections_abc.py:821(get)
       46    0.000    0.000    0.056    0.001 _make.py:1489(wrap)
       29    0.001    0.000    0.056    0.002 _generate_schema.py:514(_model_schema)
        1    0.000    0.000    0.056    0.056 patches.py:1(<module>)
      447    0.001    0.000    0.056    0.000 sre_compile.py:622(_code)
        1    0.001    0.001    0.055    0.055 compute.py:306(_make_global_functions)
      261    0.001    0.000    0.054    0.000 compute.py:290(_wrap_function)
        1    0.000    0.000    0.053    0.053 __init__.py:567(_build_master)
        1    0.000    0.000    0.053    0.053 __init__.py:553(__init__)
      116    0.003    0.000    0.052    0.000 _generate_schema.py:1040(_common_field_schema)
       25    0.000    0.000    0.052    0.002 _next_gen.py:115(wrap)
       31    0.000    0.000    0.052    0.002 _next_gen.py:89(do_it)
        3    0.000    0.000    0.052    0.017 validators.py:1(<module>)
     2684    0.002    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       46    0.000    0.000    0.052    0.001 _make.py:1198(attrs)
        3    0.000    0.000    0.051    0.017 _core.py:1(<module>)
       26    0.000    0.000    0.051    0.002 _generate_schema.py:580(<dictcomp>)
      113    0.000    0.000    0.051    0.000 _generate_schema.py:909(_generate_md_field_schema)
       25    0.000    0.000    0.051    0.002 _next_gen.py:24(define)
        1    0.000    0.000    0.051    0.051 _axes.py:1(<module>)
     5564    0.003    0.000    0.051    0.000 <frozen importlib._bootstrap>:391(cached)
      219    0.000    0.000    0.050    0.000 artist.py:1422(__init__)
        1    0.000    0.000    0.050    0.050 _laplacian.py:1(<module>)
      389    0.019    0.000    0.050    0.000 doccer.py:13(docformat)
        1    0.000    0.000    0.050    0.050 assumptions.py:1(<module>)
      219    0.008    0.000    0.050    0.000 artist.py:1442(get_aliases)
     6163    0.028    0.000    0.050    0.000 ntpath.py:489(normpath)
        1    0.000    0.000    0.048    0.048 facts.py:405(__init__)
    28311    0.011    0.000    0.048    0.000 typing.py:993(__instancecheck__)
     2880    0.003    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
   200255    0.047    0.000    0.047    0.000 solver.py:770(<genexpr>)
        2    0.000    0.000    0.047    0.023 requirements.py:1(<module>)
      126    0.001    0.000    0.047    0.000 _distn_infrastructure.py:755(_construct_doc)
       26    0.000    0.000    0.046    0.002 __init__.py:2030(_by_version_descending)
        4    0.000    0.000    0.046    0.012 _base.py:1(<module>)
        2    0.000    0.000    0.046    0.023 main.py:1(<module>)
       16    0.000    0.000    0.046    0.003 _attrs.py:15(frozen)
        1    0.000    0.000    0.045    0.045 constrained.py:1(<module>)
2697/2522    0.003    0.000    0.045    0.000 typing.py:306(inner)
 4863/447    0.018    0.000    0.045    0.000 sre_compile.py:87(_compile)
